entry_id,date,employee_ref,crew_ref,job_ref,ops_service_line,ops_code,hours
E000073,2025-04-14,,CREW-02,J297,Maintenance,MOW,4.56
E000074,2025-04-14,,CREW-02,J117,Install,HARDSCAPE,6.87
E000075,2025-04-14,,CREW-02,J208,Enhancement,PRUNE,8.64
E000076,2025-04-14,,CREW-03,J238,Maintenance,TRIM,5.71
E000077,2025-04-14,,CREW-03,,Install,PTO,0.52
E000078,2025-04-14,,CREW-04,J263,Maintenance,BLOW,6.87
E000079,2025-04-15,,CREW-01,J333,Maintenance,TRIM,7.22
E000080,2025-04-15,,CREW-01,J208,Install,HARDSCAPE,8.15
E000081,2025-04-15,,CREW-01,,Maintenance,PTO,1.17
E000082,2025-04-15,,CREW-02,J304,Maintenance,BLOW,5.53
E000083,2025-04-15,,CREW-02,J258,Install,PLANT,6.82
E000084,2025-04-15,,CREW-02,J153,Enhancement,SEASONAL-COLOR,7.2
E000085,2025-04-16,,CREW-01,J305,Maintenance,MOW,6.86
E000086,2025-04-16,,CREW-01,J320,Enhancement,PRUNE,5.35
E000087,2025-04-16,,CREW-03,J343,Maintenance,MOW,4.59
E000088,2025-04-16,,CREW-03,J120,Enhancement,MULCH,4.65
E000089,2025-04-16,,CREW-03,,Maintenance,PTO,1.51
E000090,2025-04-17,,CREW-01,J254,Maintenance,MOW,4.05
E000091,2025-04-17,,CREW-01,,Maintenance,PTO,1.15
E000092,2025-04-17,,CREW-02,J134,Maintenance,TRIM,8.26
E000093,2025-04-17,,CREW-03,J384,Maintenance,TRIM,5.38
E000094,2025-04-17,,CREW-03,,Install,PTO,0.61
E000095,2025-04-18,,CREW-01,J111,Maintenance,MOW,6.43
E000096,2025-04-18,,CREW-01,J180,Install,HARDSCAPE,5.18
E000097,2025-04-18,,CREW-01,,Maintenance,PTO,2.39
E000098,2025-04-18,,CREW-02,J302,Maintenance,MOW,5.43
E000099,2025-04-18,,CREW-03,J265,Maintenance,FERT,6.46
E000100,2025-04-18,,CREW-03,J167,Install,INSTALL,6.56
E000101,2025-04-18,,CREW-03,,Install,TRAINING,1.71
E000102,2025-04-21,,CREW-01,J378,Maintenance,MOW,4.72
E000103,2025-04-21,,CREW-01,J365,Install,HARDSCAPE,5.64
E000104,2025-04-21,,CREW-01,,Install,PTO,1.52
E000105,2025-04-21,,CREW-02,J190,Maintenance,MOW,4.84
E000106,2025-04-21,,CREW-02,J187,Install,INSTALL,4.85
E000107,2025-04-21,,CREW-02,,Install,DRIVE,2.68
E000108,2025-04-21,,CREW-04,J379,Install,INSTALL,6.01
E000109,2025-04-21,,CREW-04,,Enhancement,DRIVE,0.54
E000110,2025-04-22,,CREW-01,J351,Maintenance,MOW,8.9
E000111,2025-04-22,,CREW-01,J341,Install,GRADE,6.48
E000112,2025-04-22,,CREW-02,J137,Maintenance,FERT,8.87
E000113,2025-04-22,,CREW-02,J280,Install,INSTALL,5.19
E000114,2025-04-22,,CREW-02,J267,Enhancement,MULCH,8.19
E000115,2025-04-22,,CREW-02,,Maintenance,SHOP,2.31
E000116,2025-04-22,,CREW-03,J175,Maintenance,TRIM,5.01
E000117,2025-04-22,,CREW-03,J323,Install,GRADE,5.97
E000118,2025-04-22,,CREW-03,J346,Enhancement,MULCH,8.01
E000119,2025-04-22,,CREW-03,,Install,PTO,1.37
E000120,2025-04-23,,CREW-01,J199,Maintenance,FERT,5.79
E000121,2025-04-23,,CREW-01,J126,Install,GRADE,5.88
E000122,2025-04-23,,CREW-01,,Enhancement,SHOP,1.47
E000123,2025-04-23,,CREW-03,J329,Maintenance,MOW,7.9
E000124,2025-04-23,,CREW-03,J197,Install,PLANT,6.93
E000125,2025-04-23,,CREW-03,J345,Enhancement,MULCH,7.91
E000126,2025-04-23,,CREW-03,,Maintenance,PTO,1.87
E000127,2025-04-23,,CREW-04,J309,Maintenance,FERT,8.91
E000128,2025-04-23,,CREW-04,J398,Enhancement,SEASONAL-COLOR,7.56
E000129,2025-04-23,,CREW-04,,Install,SHOP,2.73
E000130,2025-04-24,,CREW-01,J144,Maintenance,FERT,6.27
E000131,2025-04-24,,CREW-01,J271,Enhancement,SEASONAL-COLOR,7.02
E000132,2025-04-24,,CREW-02,J342,Maintenance,FERT,8.05
E000133,2025-04-24,,CREW-02,J162,Install,INSTALL,6.92
E000134,2025-04-24,,CREW-02,,Install,SHOP,1.95
E000135,2025-04-24,,CREW-03,J174,Maintenance,TRIM,4.59
E000136,2025-04-24,,CREW-03,,Enhancement,DRIVE,2.87
E000137,2025-04-24,,CREW-04,J126,Maintenance,MOW,8.01
E000138,2025-04-24,,CREW-04,J287,Install,HARDSCAPE,5.84
E000139,2025-04-24,,CREW-04,,Install,PTO,1.6
E000140,2025-04-25,,CREW-01,J177,Install,INSTALL,8.36
E000141,2025-04-25,,CREW-01,J259,Enhancement,MULCH,6.39
E000142,2025-04-25,,CREW-01,,Enhancement,TRAINING,2.65
E000143,2025-04-25,,CREW-03,J188,Maintenance,TRIM,7.28
E000144,2025-04-25,,CREW-03,J281,Install,INSTALL,5.73
E000145,2025-04-25,,CREW-03,,Install,SHOP,0.81
E000146,2025-04-25,,CREW-04,J210,Enhancement,MULCH,8.28
E000147,2025-04-25,,CREW-04,,Maintenance,TRAINING,1.62
E000148,2025-04-28,,CREW-02,J302,Maintenance,BLOW,7.47
E000149,2025-04-28,,CREW-02,J307,Install,HARDSCAPE,7.21
E000150,2025-04-28,,CREW-02,,Install,TRAINING,1.74
E000151,2025-04-28,,CREW-04,J281,Maintenance,TRIM,8.04
E000152,2025-04-28,,CREW-04,J315,Install,PLANT,5.79
E000153,2025-04-28,,CREW-04,J351,Enhancement,SEASONAL-COLOR,6.73
E000154,2025-04-29,,CREW-01,J285,Maintenance,TRIM,5.52
E000155,2025-04-29,,CREW-01,J244,Enhancement,SEASONAL-COLOR,6.26
E000156,2025-04-29,,CREW-04,J121,Maintenance,FERT,4.95
E000157,2025-04-29,,CREW-04,J361,Install,INSTALL,7.71
E000158,2025-04-29,,CREW-04,J348,Enhancement,SEASONAL-COLOR,4.65
E000159,2025-04-29,,CREW-04,,Enhancement,SHOP,2.8
E000160,2025-04-30,,CREW-01,J258,Maintenance,MOW,7.21
E000161,2025-04-30,,CREW-01,J293,Enhancement,PRUNE,5.59
E000162,2025-04-30,,CREW-01,,Enhancement,PTO,1.23
E000163,2025-04-30,,CREW-02,J127,Maintenance,FERT,8.05
E000164,2025-04-30,,CREW-02,J349,Install,PLANT,8.62
E000165,2025-04-30,,CREW-02,J217,Enhancement,SEASONAL-COLOR,4.13
E000166,2025-04-30,,CREW-02,,Install,PTO,1.56
E000167,2025-04-30,,CREW-04,J296,Maintenance,MOW,5.02
E000168,2025-04-30,,CREW-04,J113,Install,GRADE,8.22
E000169,2025-05-01,,CREW-01,J341,Maintenance,MOW,4.08
E000170,2025-05-01,,CREW-01,J390,Install,HARDSCAPE,7.34
E000171,2025-05-01,,CREW-01,J304,Enhancement,SEASONAL-COLOR,6.09
E000172,2025-05-01,,CREW-02,J178,Maintenance,MOW,4.59
E000173,2025-05-01,,CREW-02,J137,Install,GRADE,7.74
E000174,2025-05-01,,CREW-02,,Maintenance,SHOP,2.16
E000175,2025-05-01,,CREW-03,J186,Maintenance,FERT,8.87
E000176,2025-05-01,,CREW-03,J291,Install,HARDSCAPE,8.65
E000177,2025-05-01,,CREW-03,,Install,DRIVE,2.66
E000178,2025-05-01,,CREW-04,J252,Maintenance,BLOW,8.03
E000179,2025-05-01,,CREW-04,J312,Enhancement,PRUNE,7.97
E000180,2025-05-01,,CREW-04,,Enhancement,TRAINING,0.86
E000181,2025-05-02,,CREW-01,J242,Maintenance,FERT,5.85
E000182,2025-05-02,,CREW-01,J303,Install,INSTALL,6.02
E000183,2025-05-02,,CREW-01,,Maintenance,PTO,1.52
E000184,2025-05-02,,CREW-02,J181,Maintenance,BLOW,7.83
E000185,2025-05-02,,CREW-02,J274,Enhancement,MULCH,6.87
E000186,2025-05-02,,CREW-02,,Maintenance,PTO,1.39
E000187,2025-05-02,,CREW-03,J203,Maintenance,MOW,6.04
E000188,2025-05-02,,CREW-03,J284,Install,HARDSCAPE,6.35
E000189,2025-05-02,,CREW-03,,Maintenance,PTO,0.61
E000190,2025-05-02,,CREW-04,J188,Maintenance,TRIM,6.77
E000191,2025-05-02,,CREW-04,J110,Install,INSTALL,7.58
E000192,2025-05-02,,CREW-04,J168,Enhancement,PRUNE,7.97
E000193,2025-05-02,,CREW-04,,Enhancement,PTO,0.79
E000194,2025-05-05,,CREW-01,J211,Maintenance,FERT,4.24
E000195,2025-05-05,,CREW-02,J119,Maintenance,FERT,6.42
E000196,2025-05-05,,CREW-02,,Maintenance,DRIVE,1.69
E000197,2025-05-05,,CREW-03,J137,Maintenance,FERT,5.81
E000198,2025-05-05,,CREW-03,J373,Install,GRADE,5.76
E000199,2025-05-05,,CREW-03,,Install,PTO,2.69
E000200,2025-05-05,,CREW-04,J121,Maintenance,BLOW,8.74
E000201,2025-05-05,,CREW-04,J120,Enhancement,MULCH,4.42
E000202,2025-05-05,,CREW-04,,Enhancement,TRAINING,2.72
E000203,2025-05-06,,CREW-01,J175,Maintenance,TRIM,8.42
E000204,2025-05-06,,CREW-01,J293,Enhancement,MULCH,5.55
E000205,2025-05-06,,CREW-01,,Enhancement,PTO,2.62
E000206,2025-05-06,,CREW-02,J159,Maintenance,MOW,7.8
E000207,2025-05-06,,CREW-02,J268,Install,INSTALL,5.03
E000208,2025-05-06,,CREW-03,J222,Maintenance,BLOW,8.46
E000209,2025-05-06,,CREW-03,J116,Enhancement,PRUNE,7.82
E000210,2025-05-06,,CREW-03,,Enhancement,TRAINING,0.8
E000211,2025-05-06,,CREW-04,J183,Maintenance,BLOW,7.38
E000212,2025-05-06,,CREW-04,J368,Install,GRADE,4.35
E000213,2025-05-06,,CREW-04,J342,Enhancement,MULCH,4.73
E000214,2025-05-06,,CREW-04,,Enhancement,TRAINING,0.56
E000215,2025-05-07,,CREW-01,J234,Install,GRADE,7.91
E000216,2025-05-07,,CREW-01,J180,Enhancement,MULCH,4.49
E000217,2025-05-07,,CREW-02,J157,Maintenance,TRIM,6.54
E000218,2025-05-07,,CREW-02,,Maintenance,DRIVE,1.0
E000219,2025-05-07,,CREW-03,J232,Maintenance,FERT,4.15
E000220,2025-05-07,,CREW-03,,Maintenance,PTO,1.96
E000221,2025-05-07,,CREW-04,J281,Maintenance,FERT,7.63
E000222,2025-05-07,,CREW-04,J215,Install,PLANT,4.81
E000223,2025-05-07,,CREW-04,,Maintenance,SHOP,1.58
E000224,2025-05-08,,CREW-01,J166,Maintenance,MOW,4.47
E000225,2025-05-08,,CREW-01,J265,Install,GRADE,8.44
E000226,2025-05-08,,CREW-01,,Enhancement,DRIVE,2.17
E000227,2025-05-08,,CREW-02,J262,Maintenance,BLOW,5.92
E000228,2025-05-08,,CREW-02,,Install,PTO,0.55
E000229,2025-05-08,,CREW-03,J184,Maintenance,FERT,4.23
E000230,2025-05-08,,CREW-03,J148,Install,INSTALL,5.45
E000231,2025-05-08,,CREW-03,,Enhancement,DRIVE,1.3
E000232,2025-05-08,,CREW-04,J290,Maintenance,FERT,4.42
E000233,2025-05-08,,CREW-04,J370,Install,GRADE,5.01
E000234,2025-05-08,,CREW-04,J292,Enhancement,MULCH,7.1
E000235,2025-05-08,,CREW-04,,Enhancement,TRAINING,2.1
E000236,2025-05-09,,CREW-01,J397,Maintenance,TRIM,8.86
E000237,2025-05-09,,CREW-01,J361,Enhancement,MULCH,4.92
E000238,2025-05-09,,CREW-01,,Install,DRIVE,0.64
E000239,2025-05-09,,CREW-02,J394,Maintenance,TRIM,5.68
E000240,2025-05-09,,CREW-02,J166,Install,PLANT,8.57
E000241,2025-05-09,,CREW-02,,Maintenance,DRIVE,1.43
E000242,2025-05-09,,CREW-03,J311,Maintenance,BLOW,7.58
E000243,2025-05-09,,CREW-03,J279,Install,INSTALL,7.24
E000244,2025-05-09,,CREW-03,J158,Enhancement,MULCH,6.32
E000245,2025-05-09,,CREW-03,,Install,SHOP,1.74
E000246,2025-05-09,,CREW-04,J150,Maintenance,TRIM,8.6
E000247,2025-05-09,,CREW-04,J372,Install,HARDSCAPE,7.67
E000248,2025-05-09,,CREW-04,J293,Enhancement,SEASONAL-COLOR,8.04
E000249,2025-05-12,,CREW-01,J149,Maintenance,BLOW,5.97
E000250,2025-05-12,,CREW-01,,Maintenance,TRAINING,2.46
E000251,2025-05-12,,CREW-02,J360,Maintenance,TRIM,5.87
E000252,2025-05-12,,CREW-02,J362,Install,GRADE,6.48
E000253,2025-05-12,,CREW-02,,Maintenance,DRIVE,0.82
E000254,2025-05-12,,CREW-03,J105,Maintenance,BLOW,5.51
E000255,2025-05-12,,CREW-03,J116,Install,PLANT,6.06
E000256,2025-05-12,,CREW-03,J280,Enhancement,SEASONAL-COLOR,8.48
E000257,2025-05-12,,CREW-03,,Install,DRIVE,2.27
E000258,2025-05-13,,CREW-01,J248,Maintenance,FERT,7.14
E000259,2025-05-13,,CREW-01,J222,Install,INSTALL,8.34
E000260,2025-05-13,,CREW-01,,Install,DRIVE,2.39
E000261,2025-05-13,,CREW-02,J343,Maintenance,MOW,4.62
E000262,2025-05-13,,CREW-02,J245,Enhancement,SEASONAL-COLOR,7.29
E000263,2025-05-13,,CREW-02,,Install,SHOP,0.81
E000264,2025-05-13,,CREW-03,J335,Maintenance,FERT,5.51
E000265,2025-05-13,,CREW-03,J197,Install,GRADE,6.53
E000266,2025-05-13,,CREW-03,J304,Enhancement,SEASONAL-COLOR,4.61
E000267,2025-05-13,,CREW-03,,Maintenance,TRAINING,2.0
E000268,2025-05-13,,CREW-04,J291,Maintenance,BLOW,5.13
E000269,2025-05-13,,CREW-04,J227,Install,GRADE,8.46
E000270,2025-05-14,,CREW-01,J346,Maintenance,FERT,6.44
E000271,2025-05-14,,CREW-01,J216,Install,PLANT,4.43
E000272,2025-05-14,,CREW-01,J226,Enhancement,PRUNE,6.52
E000273,2025-05-14,,CREW-01,,Install,PTO,1.23
E000274,2025-05-14,,CREW-02,J168,Maintenance,FERT,5.45
E000275,2025-05-14,,CREW-02,,Maintenance,SHOP,0.66
E000276,2025-05-14,,CREW-03,J198,Install,GRADE,7.83
E000277,2025-05-14,,CREW-03,,Enhancement,DRIVE,1.51
E000278,2025-05-14,,CREW-04,J254,Maintenance,MOW,4.89
E000279,2025-05-14,,CREW-04,J182,Install,INSTALL,6.42
E000280,2025-05-14,,CREW-04,J160,Enhancement,MULCH,6.84
E000281,2025-05-14,,CREW-04,,Maintenance,SHOP,1.92
E000282,2025-05-15,,CREW-01,J249,Maintenance,MOW,8.45
E000283,2025-05-15,,CREW-01,J376,Enhancement,PRUNE,8.72
E000284,2025-05-15,,CREW-01,,Enhancement,TRAINING,1.73
E000285,2025-05-15,,CREW-02,J318,Maintenance,TRIM,8.49
E000286,2025-05-15,,CREW-02,,Enhancement,TRAINING,1.49
E000287,2025-05-15,,CREW-03,J149,Maintenance,MOW,7.24
E000288,2025-05-15,,CREW-03,J173,Install,HARDSCAPE,6.44
E000289,2025-05-15,,CREW-03,,Install,TRAINING,1.55
E000290,2025-05-15,,CREW-04,J178,Maintenance,BLOW,7.9
E000291,2025-05-15,,CREW-04,J154,Install,GRADE,4.72
E000292,2025-05-15,,CREW-04,J245,Enhancement,MULCH,5.17
E000293,2025-05-15,,CREW-04,,Install,TRAINING,3.0
E000294,2025-05-16,,CREW-01,J303,Maintenance,MOW,8.64
E000295,2025-05-16,,CREW-01,,Maintenance,DRIVE,0.81
E000296,2025-05-16,,CREW-02,J253,Maintenance,MOW,4.5
E000297,2025-05-16,,CREW-02,J117,Install,INSTALL,5.27
E000298,2025-05-16,,CREW-02,J334,Enhancement,MULCH,8.82
E000299,2025-05-16,,CREW-02,,Enhancement,PTO,0.67
E000300,2025-05-16,,CREW-03,J187,Maintenance,MOW,4.77
E000301,2025-05-16,,CREW-03,J248,Install,PLANT,4.22
E000302,2025-05-16,,CREW-03,J209,Enhancement,PRUNE,7.12
E000303,2025-05-16,,CREW-04,J289,Maintenance,BLOW,4.1
E000304,2025-05-16,,CREW-04,J361,Enhancement,MULCH,6.28
E000305,2025-05-16,,CREW-04,,Install,TRAINING,0.98
E000306,2025-05-19,,CREW-01,J223,Install,HARDSCAPE,7.57
E000307,2025-05-19,,CREW-01,,Install,PTO,2.0
E000308,2025-05-19,,CREW-02,J234,Maintenance,BLOW,4.78
E000309,2025-05-19,,CREW-02,J138,Install,GRADE,5.27
E000310,2025-05-19,,CREW-02,J391,Enhancement,MULCH,6.9
E000311,2025-05-19,,CREW-03,J182,Maintenance,MOW,6.24
E000312,2025-05-19,,CREW-03,J167,Install,INSTALL,8.25
E000313,2025-05-19,,CREW-03,,Enhancement,DRIVE,1.86
E000314,2025-05-19,,CREW-04,J163,Maintenance,BLOW,7.71
E000315,2025-05-19,,CREW-04,J168,Enhancement,MULCH,5.45
E000316,2025-05-19,,CREW-04,,Maintenance,DRIVE,2.92
E000317,2025-05-20,,CREW-01,J305,Maintenance,FERT,7.92
E000318,2025-05-20,,CREW-01,J186,Enhancement,PRUNE,6.25
E000319,2025-05-20,,CREW-01,,Install,PTO,1.28
E000320,2025-05-20,,CREW-02,J136,Maintenance,MOW,4.0
E000321,2025-05-20,,CREW-02,J375,Install,HARDSCAPE,8.87
E000322,2025-05-20,,CREW-02,,Install,DRIVE,1.27
E000323,2025-05-20,,CREW-03,J261,Maintenance,FERT,4.86
E000324,2025-05-20,,CREW-03,J127,Install,PLANT,4.1
E000325,2025-05-20,,CREW-03,,Install,DRIVE,2.48
E000326,2025-05-20,,CREW-04,J243,Maintenance,FERT,5.35
E000327,2025-05-20,,CREW-04,J261,Install,INSTALL,4.33
E000328,2025-05-20,,CREW-04,,Install,DRIVE,1.03
E000329,2025-05-21,,CREW-01,J108,Maintenance,TRIM,7.74
E000330,2025-05-21,,CREW-01,J306,Install,INSTALL,7.48
E000331,2025-05-21,,CREW-01,,Maintenance,DRIVE,2.87
E000332,2025-05-21,,CREW-02,J158,Install,GRADE,4.73
E000333,2025-05-21,,CREW-02,,Maintenance,TRAINING,1.17
E000334,2025-05-21,,CREW-03,J233,Maintenance,MOW,8.01
E000335,2025-05-21,,CREW-03,,Maintenance,SHOP,2.46
E000336,2025-05-21,,CREW-04,J246,Maintenance,TRIM,7.24
E000337,2025-05-21,,CREW-04,J164,Install,GRADE,4.24
E000338,2025-05-21,,CREW-04,J246,Enhancement,PRUNE,4.72
E000339,2025-05-21,,CREW-04,,Enhancement,DRIVE,2.62
E000340,2025-05-22,,CREW-01,,Enhancement,SHOP,2.2
E000341,2025-05-22,,CREW-02,J178,Maintenance,TRIM,8.73
E000342,2025-05-22,,CREW-02,J265,Install,HARDSCAPE,6.98
E000343,2025-05-22,,CREW-02,J346,Enhancement,PRUNE,6.54
E000344,2025-05-22,,CREW-02,,Install,SHOP,1.77
E000345,2025-05-22,,CREW-03,J100,Maintenance,MOW,4.32
E000346,2025-05-22,,CREW-03,J139,Install,GRADE,7.49
E000347,2025-05-22,,CREW-03,,Enhancement,PTO,0.64
E000348,2025-05-22,,CREW-04,J257,Maintenance,MOW,5.04
E000349,2025-05-22,,CREW-04,J323,Install,INSTALL,8.34
E000350,2025-05-22,,CREW-04,J392,Enhancement,MULCH,8.41
E000351,2025-05-23,,CREW-01,J337,Maintenance,FERT,7.77
E000352,2025-05-23,,CREW-01,J361,Install,PLANT,6.89
E000353,2025-05-23,,CREW-01,J199,Enhancement,PRUNE,5.62
E000354,2025-05-23,,CREW-01,,Maintenance,PTO,2.71
E000355,2025-05-23,,CREW-02,J150,Maintenance,BLOW,6.36
E000356,2025-05-23,,CREW-02,J226,Install,GRADE,4.14
E000357,2025-05-23,,CREW-02,J187,Enhancement,SEASONAL-COLOR,7.01
E000358,2025-05-23,,CREW-02,,Install,DRIVE,1.6
E000359,2025-05-23,,CREW-03,J111,Maintenance,FERT,5.4
E000360,2025-05-23,,CREW-03,J100,Install,PLANT,4.43
E000361,2025-05-23,,CREW-03,,Maintenance,TRAINING,1.95
E000362,2025-05-23,,CREW-04,J210,Maintenance,TRIM,8.32
E000363,2025-05-23,,CREW-04,J294,Enhancement,SEASONAL-COLOR,8.68
E000364,2025-05-23,,CREW-04,,Maintenance,SHOP,0.94
E000365,2025-05-26,,CREW-01,J327,Maintenance,BLOW,4.63
E000366,2025-05-26,,CREW-01,J326,Install,GRADE,6.71
E000367,2025-05-26,,CREW-01,J168,Enhancement,SEASONAL-COLOR,4.99
E000368,2025-05-26,,CREW-01,,Maintenance,PTO,1.41
E000369,2025-05-26,,CREW-02,J145,Maintenance,BLOW,7.56
E000370,2025-05-26,,CREW-02,J184,Install,INSTALL,4.38
E000371,2025-05-26,,CREW-02,J263,Enhancement,MULCH,6.94
E000372,2025-05-26,,CREW-03,J399,Maintenance,MOW,5.31
E000373,2025-05-26,,CREW-03,J131,Install,HARDSCAPE,6.25
E000374,2025-05-26,,CREW-03,,Enhancement,TRAINING,2.48
E000375,2025-05-26,,CREW-04,J136,Maintenance,TRIM,8.21
E000376,2025-05-26,,CREW-04,J344,Install,INSTALL,4.67
E000377,2025-05-27,,CREW-01,J118,Maintenance,FERT,4.72
E000378,2025-05-27,,CREW-01,J248,Install,PLANT,6.7
E000379,2025-05-27,,CREW-01,,Install,PTO,1.65
E000380,2025-05-27,,CREW-02,J117,Maintenance,MOW,8.54
E000381,2025-05-27,,CREW-02,J282,Install,PLANT,8.16
E000382,2025-05-27,,CREW-02,J279,Enhancement,SEASONAL-COLOR,8.61
E000383,2025-05-27,,CREW-02,,Maintenance,TRAINING,2.56
E000384,2025-05-27,,CREW-03,J366,Maintenance,FERT,6.77
E000385,2025-05-27,,CREW-03,J176,Enhancement,MULCH,8.88
E000386,2025-05-27,,CREW-04,J125,Maintenance,TRIM,6.35
E000387,2025-05-27,,CREW-04,J303,Install,HARDSCAPE,8.99
E000388,2025-05-27,,CREW-04,J191,Enhancement,MULCH,4.17
E000389,2025-05-27,,CREW-04,,Maintenance,DRIVE,0.77
E000390,2025-05-28,,CREW-01,J326,Maintenance,BLOW,6.42
E000391,2025-05-28,,CREW-01,J319,Install,INSTALL,6.61
E000392,2025-05-28,,CREW-01,J237,Enhancement,PRUNE,4.77
E000393,2025-05-28,,CREW-01,,Install,TRAINING,1.49
E000394,2025-05-28,,CREW-02,J102,Maintenance,MOW,5.84
E000395,2025-05-28,,CREW-02,J229,Install,GRADE,7.55
E000396,2025-05-28,,CREW-02,J251,Enhancement,PRUNE,5.19
E000397,2025-05-28,,CREW-02,,Enhancement,PTO,1.1
